image_id,qw,qx,qy,qz,tx,ty,tz,camera_params_id,image_name
1,0.5526208103710538,-0.4816778661326102,-0.48745420644564713,-0.4743259109949818,3.3902340437658647,-1.3488025351584443,0.7284757854283734,1,DJI_0001.JPG
2,0.5525622379447863,-0.4824491441225176,-0.48646792847749015,-0.4746227460791561,3.3882385609436616,-1.356154346748848,0.7231112068793047,1,DJI_0003.JPG
3,0.5523732248917138,-0.48215312374893626,-0.48707025538293985,-0.47452581805742555,3.388581014712833,-1.3532371305284772,0.7272051129017182,1,DJI_0002.JPG
4,0.5520856383046525,-0.48500792557329725,-0.4852424182474197,-0.4738233380092496,3.387157665956761,-1.364930686371426,0.7126488780608979,1,DJI_0005.JPG
5,0.7103122453188476,-0.6549686567905464,-0.17528589075972098,-0.18906990578263871,2.500384230834867,-1.1595252035915773,-2.4361505198357047,1,DJI_0007.JPG
6,0.5608905187669859,-0.49684062058090767,-0.4743380519952411,-0.46211972055674044,3.4311504069816636,-1.1032966547538205,0.5772473197990057,1,DJI_0006.JPG
7,0.5317292805593892,-0.4705715900808035,-0.5038745364303244,-0.491870717101297,3.308661794647901,-1.1555841955221802,0.9679194400104087,1,DJI_0008.JPG
8,-0.436128351024409,0.3748935200836917,0.5888971880030845,0.5678441793256741,2.758331403652575,-1.1512091626029184,2.092470346024074,1,DJI_0009.JPG
9,-0.32659024916011725,0.2673056383426018,0.6561067447248146,0.6256280399649569,1.8481556205565968,-1.1551526069227889,2.9809953328140626,1,DJI_0010.JPG
10,-0.24210863723634873,0.18269073222777063,0.6915141432795348,0.6556033051914933,1.01788348180351,-1.137990109225851,3.395016781476789,1,DJI_0011.JPG
11,-0.18569682445049673,0.12056179511712853,0.720779029405859,0.6568554892180506,0.3818534211414347,-1.1027706108179065,1.8457812739630555,1,DJI_0012.JPG
12,-0.14997287842774948,0.08801031994997256,0.7315131665441001,0.6592805218501625,0.28712916743757616,-1.122820024117722,1.1305934906102728,1,DJI_0014.JPG
13,-0.1826898064449471,0.11809151015097653,0.722758472453245,0.6559718136844155,0.367774164527383,-1.108791110000522,1.5712058422860613,1,DJI_0013.JPG
14,-0.08458716995331915,0.02741693526375263,0.743737527346492,0.6625313673755815,0.2062833536802914,-1.1506479871311412,0.48127260511220754,1,DJI_0016.JPG
15,-0.09421043310068546,0.03678702511988786,0.741698760390145,0.6630641431366444,0.19151056250667964,-1.1390966208709568,0.7846561050549579,1,DJI_0015.JPG
16,-0.07876469781703369,0.021913539752603194,0.745762450625825,0.6611764411939272,0.22388505318353805,-1.174460821139852,0.056841394166978566,1,DJI_0017.JPG
17,-0.07525714168902883,0.018059349366907243,0.7473604881274383,0.6598958427745689,0.23732685256731126,-1.1928613022895813,-0.3048971516577135,1,DJI_0018.JPG
18,-0.07186935098732163,0.013847934924405827,0.7500096843791054,0.6573648183653771,0.25506704403936215,-1.2383727940245648,-0.9896042668531213,1,DJI_0019.JPG
19,-0.0691122355595501,0.010513979579382132,0.7520022772568412,0.6554430029605097,0.26497871478155816,-1.2877426388418878,-1.5798186110400354,1,DJI_0020.JPG
20,-0.06688635740949572,0.007193226483022514,0.7536687690686527,0.6538026148737822,0.2819206865144206,-1.3387842416071205,-2.2204678390905745,1,DJI_0021.JPG
21,0.12696262845228837,-0.16359626173249536,0.7456804571703335,0.6333067265692678,1.7169533240786854,-1.424402006979954,-2.872600226958373,1,DJI_0022.JPG
22,-0.3824234466201004,0.2815034139934044,0.6534019115086083,0.5895541344288565,-2.941246889730333,-1.496663571203749,-2.310812556899556,1,DJI_0023.JPG
23,0.5302901333748575,-0.4367582223517789,-0.5317072507671106,-0.49529993855750776,-3.7530768590053825,-1.4452042250539758,-0.5216000570156416,1,DJI_0024.JPG
24,-0.46647381279580813,0.40213515625847296,0.5760620060841497,0.5374402880534916,-3.2353907338102235,-1.3122396911078509,-1.02044801473728,1,DJI_0026.JPG
